Study_ID,Climate,Soil_Texture,Initial_EC_dSm,Initial_pH,Crop,Cropping_System,Duration_years,Irrigation_Type,Fertilizer,Outcome,Exp_mean,Exp_sd,Exp_n,Ctrl_mean,Ctrl_sd,Ctrl_n
(Yang et al. 2024),Temperate,NA,NA,NA,Maize–Wheat,Intercropping,2,Sprinkler,NPK,SOC,13.2,0.2,3,10.1,0.3,3
(Chen et al. 2025b),Temperate,NA,NA,NA,Maize,Monoculture,1,Sprinkler,Straw,SOC,14.35,0.22,4,10.98,0.4,4
(Zhu et al. 2022),Subtropical,Clay,NA,6.81,NA,NA,NA,Flood,Control,SOC,26.9,0.35,3,24.14,0.19,3
(Liu et al. 2023b),Temperate,Clay,NA,8.44,NA,NA,NA,Flood,Control,SOC,30.93,21.9,4,41.89,23.68,3
(Li et al. 2023c),NA,Silty clay loam,4.89,7.69,NA,NA,1,NA,Compost,SOC,1.63,3.63,3,15,1.77,3
(Xu and Qu 2025),NA,Sandy,6,8.5,Sunflower,Monoculture,0.5,NA,Biochar + N,SOC,350,1.9,3,1.2,0.01,3
(Wang et al. 2022a),Semi-arid,Sandy loam,2.02,7.96,Maize,Monoculture,1,NA,Straw + NPK,SOC,27.81,14.10175,3,8.14,0.12127,3
(Zhang et al. 2024a),Arid,Loam,1.68,8.25,Alfalfa,Monoculture,1,Subsurface drainage,Nitrogen,SOC,3.9,17.40736,3,9.23,0.31177,3
(Dai et al. 2022),Subtropical,Loam,NA,NA,Wheat,Monoculture,1,Sprinkler,Straw + NPK,Enzyme,80,5,3,60,4,3
(He et al. 2022),Semi-arid,NA,NA,8.93,Alfalfa,Monoculture,3,NA,Urea + Humic Acid,Enzyme,13.82,6.63,3,6.62,0.03464,3
(He et al. 2022),Semi-arid,NA,NA,8.84,Alfalfa,Monoculture,3,NA,Urea,Enzyme,10.72,6.63,3,6.62,0.03464,3
(He et al. 2022),Semi-arid,NA,NA,8.78,Alfalfa,Monoculture,3,NA,Humic Acid,Enzyme,13.21,6.67,3,6.62,0.03464,3
(Hu et al. 2023),Subtropical,Silt loam,NA,NA,Rice,Monoculture,1,Flood,Control,Enzyme,2.11,0.09,3,2.04,0.07,3
(Huang et al. 2024a),Arid,Sandy loam,9.4,8.55,Maize,Monoculture,NA,NA,Control,Enzyme,960,45,3,760,30,3
(Wang et al. 2024b),Arid,Sandy loam,0.94,8.87,Cotton,Monoculture,1,Drip,Control,Enzyme,0.98,0.01,3,0.97,0.01,3
(Zhou et al. 2024),Arid,Silt loam,0.69,9.85,Phragmites australis,Monoculture,NA,NA,Control,Enzyme,140,10,6,80,10,6
(Huang et al. 2024b),Subtropical,Clay,NA,7.72,Rice,Monoculture,3,Flood,Straw,Enzyme,0.6,0.05,3,0.4,0.05,3
(Liu et al. 2024b),Arid,Silt loam,2.02,7.8,Barley,Monoculture,1,Flood,Straw,Enzyme,4.8,0.2,3,3,0.2,3
(Xiao et al. 2024),Semi-arid,Silt loam,393,8.17,Rice,Monoculture,1,Flood,Farmyard Manure,Enzyme,220.5,2.79,3,175.33,5.01,3
(Li et al. 2021b),NA,Clay,NA,8.28,Wheat,Monoculture,NA,NA,Farmyard Manure,Enzyme,2.8,2.8,3,1.6,0.05,3
